gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalServices,Recency_score,Frequency_score,Monetary_score,treatment,contract_score,tenure_norm,charge_norm,persuadability,churn_observed,persuadability_bin,churn_risk,uplift_score
Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,1,5,1,1,0,1.0,0.9861111111111112,0.2513684210526316,0.8461070175438598,0,High,46.938164,0.18323132
Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,0,2,2,2,2,1,0.3,0.5277777777777778,0.479578947368421,0.4042491228070176,0,Medium,12.031423,0.069344364
Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,2,5,2,2,1,1.0,0.9722222222222222,0.4534736842105263,0.8823614035087719,1,High,43.03116,0.06866649
Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,0,3,2,3,2,1,0.3,0.375,0.3562105263157895,0.3337421052631578,0,Low,11.819865,0.07532505
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,0,5,0,3,0,1.0,0.9722222222222222,0.5953684210526317,0.910740350877193,1,High,42.378254,0.19947374
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,3,4,3,4,0,1.0,0.8888888888888888,0.8391578947368421,0.934498245614035,1,High,56.684326,0.34734052
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,2,3,2,3,0,1.0,0.6944444444444444,0.7503157894736842,0.8583964912280702,0,High,28.796011,0.16221246
Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,0,1,4,1,1,1,1.0,0.8611111111111112,0.2505263157894737,0.8084385964912281,0,Medium,10.693558,0.14311665
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,4,2,4,4,1,1.0,0.6111111111111112,0.8825263157894737,0.8598385964912281,1,High,43.422028,0.24913073
Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,0,2,1,2,2,1,0.3,0.1388888888888888,0.4728421052631579,0.2862350877192982,1,Low,17.927803,-0.032666117
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,0,1,3,1,2,0,1.0,0.8194444444444444,0.4206315789473684,0.8299596491228071,0,High,17.595167,0.19765432
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0,0,3,0,1,1,0.0,0.7777777777777778,0.159578947368421,0.2652491228070175,0,Low,10.618981,0.0884767
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,0,3,1,3,4,1,0.3,0.1944444444444444,0.8450526315789473,0.3773438596491227,0,Medium,26.593578,0.06382543
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,4,1,4,4,0,1.0,0.3194444444444444,0.8732631578947369,0.7704859649122807,0,Medium,30.949804,0.013462156
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,5,2,5,4,0,1.0,0.6527777777777778,0.888421052631579,0.8735175438596491,0,High,27.51421,0.26367146
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),113.25,7895.15,0,6,1,6,4,0,0.0,0.0416666666666666,0.9536842105263158,0.2032368421052631,1,Low,31.490322,0.56144273
Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,0,0,1,0,1,0,0.3,0.2777777777777778,0.1738947368421052,0.2681122807017544,1,Low,14.964069,0.10292477
Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,0,4,1,4,4,1,0.0,0.0138888888888888,0.8985263157894737,0.1838719298245614,1,Low,20.417805,-0.15734878
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,2,4,2,2,0,1.0,0.8611111111111112,0.4648421052631579,0.8513017543859649,1,High,25.833782,0.3176553
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,0,3,3,3,4,0,1.0,0.7083333333333333,0.7583157894736842,0.8641631578947367,0,High,32.46947,0.0821352
Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,2,5,2,2,1,1.0,0.9861111111111112,0.3338947368421052,0.8626122807017544,0,High,52.401245,0.21113151
Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0,0,4,0,1,0,0.3,0.8333333333333334,0.1667368421052631,0.4333473684210526,0,Medium,10.732276,0.066669315
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,0,5,0,1,0,1.0,0.9861111111111112,0.1696842105263157,0.8297701754385965,1,High,41.238934,0.1757325
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,0,2,1,2,2,0,0.0,0.1944444444444444,0.5044210526315789,0.1592175438596491,0,Low,12.202711,0.0559756
Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,3,1,3,2,0,1.0,0.3194444444444444,0.5018947368421053,0.6962122807017543,0,Medium,17.790499,0.10047495
Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,2,2,2,2,1,1.0,0.5833333333333333,0.4656842105263157,0.7681368421052631,0,Medium,13.745694,0.116308585
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,3,2,3,4,0,1.0,0.3472222222222222,0.8366315789473684,0.7714929824561403,1,Medium,41.080456,0.12521562
Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,1,5,1,2,1,1.0,0.9861111111111112,0.2543157894736842,0.8466964912280702,1,High,39.295437,0.24138653
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,6,1,6,4,1,0.0,0.0,0.76,0.152,0,Low,10.703337,0.011165082
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,2,3,2,3,0,1.0,0.7638888888888888,0.5448421052631579,0.8381350877192982,1,High,23.427828,0.122906715
Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0,4,1,4,4,1,0.0,0.0138888888888888,0.8113684210526315,0.1664403508771929,0,Low,9.596689,0.030641042
