gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalServices,Recency_score,Frequency_score,Monetary_score,treatment,contract_score,tenure_norm,charge_norm,persuadability,churn_observed,persuadability_bin
Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,1,5,1,1,0,1.0,0.9861111111111112,0.2513684210526316,0.8461070175438598,0,High
Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,0,2,2,2,2,1,0.3,0.5277777777777778,0.47957894736842105,0.4042491228070176,0,Medium
Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,2,5,2,2,1,1.0,0.9722222222222222,0.4534736842105263,0.8823614035087719,1,High
Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,0,3,2,3,2,1,0.3,0.375,0.3562105263157895,0.33374210526315784,0,Low
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,0,5,0,3,0,1.0,0.9722222222222222,0.5953684210526317,0.910740350877193,1,High
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,3,4,3,4,0,1.0,0.8888888888888888,0.8391578947368421,0.934498245614035,1,High
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,2,3,2,3,0,1.0,0.6944444444444444,0.7503157894736842,0.8583964912280702,0,High
Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,0,1,4,1,1,1,1.0,0.8611111111111112,0.2505263157894737,0.8084385964912281,0,Medium
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,4,2,4,4,1,1.0,0.6111111111111112,0.8825263157894737,0.8598385964912281,1,High
Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,0,2,1,2,2,1,0.3,0.13888888888888884,0.4728421052631579,0.28623508771929823,1,Low
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,0,1,3,1,2,0,1.0,0.8194444444444444,0.42063157894736847,0.8299596491228071,0,High
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0,0,3,0,1,1,0.0,0.7777777777777778,0.15957894736842104,0.26524912280701757,0,Low
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,0,3,1,3,4,1,0.3,0.19444444444444442,0.8450526315789473,0.37734385964912276,0,Medium
